test_name,user1_face,user1_voice,user1_finger,user2_face,user2_voice,user2_finger,expected_result
有效-同一个人-不同样本,1_1.png,1_1.wav,1_1.jpg,1_2.png,1_2.wav,1_2.jpg,same_person
有效-不同的人,2_1.png,2_1.wav,2_1.jpg,3_1.png,3_1.wav,3_1.jpg,different_person
无效-User1缺少人脸,,4_1.wav,4_1.jpg,5_1.png,5_1.wav,5_1.jpg,error
无效-User2缺少声纹,6_1.png,6_1.wav,6_1.jpg,7_1.png,,7_1.jpg,error
无效-User1缺少指纹,8_1.png,8_1.wav,,9_1.png,9_1.wav,9_1.jpg,error
无效-User2数据全空,10_1.png,10_1.wav,10_1.jpg,,,,error
无效-所有输入均为空,,,,,,,error
无效-文件引用不存在的用户ID,11_1.png,11_1.wav,11_1.jpg,99_1.png,99_1.wav,99_1.jpg,error
无效-User1声纹格式错误,7_1.png,7_1.jpg,7_1.jpg,6_1.png,6_1.wav,6_1.jpg,error
无效-User2人脸格式错误,5_1.png,5_1.wav,5_1.jpg,8_1.wav,8_1.wav,8_1.jpg,error
无效-输入包含特殊字符,6_1.png,6_1.wav,"<script>alert(1)</script>",7_1.png,7_1.wav,7_1.jpg,error
有效-同一个人-使用边界用户ID,10_1.png,10_1.wav,10_1.jpg,10_5.png,10_5.wav,10_5.jpg,same_person
有效-不同人-使用边界用户ID,10_4.png,10_4.wav,10_4.jpg,9_2.png,9_2.wav,9_2.jpg,different_person
无效-文件引用不存在的文件ID,1_1.png,1_1.wav,1_1.jpg,1_99.png,1_99.wav,1_99.jpg,error
